employee_id,position,experience_years,macro_domains,micro_domains,skill_PHP,skill_Python,skill_JavaScript,skill_TypeScript,skill_Go,skill_Rust,skill_C#,skill_C++,skill_Java,skill_Kotlin,skill_Swift,skill_Ruby,skill_Dart,skill_Lua,skill_R,skill_Laravel,skill_React,skill_Vue.js,skill_Next.js,skill_Nuxt.js,skill_Angular,skill_Svelte,skill_Django,skill_FastAPI,skill_Flask,skill_Spring Boot,skill_Ruby on Rails,skill_Express.js,skill_NestJS,skill_Flutter,skill_React Native,skill_Android (Native),skill_iOS (Native),skill_PostgreSQL,skill_MySQL,skill_SQLite,skill_MongoDB,skill_Redis,skill_Elasticsearch,skill_Firebase,skill_Supabase,skill_Pinecone,skill_Milvus,skill_ChromaDB,skill_Docker,skill_Kubernetes,skill_Git,skill_AWS,skill_Google Cloud,skill_Azure,skill_Cloudflare,skill_Terraform,skill_Nginx,skill_Linux,skill_MLflow,skill_Ollama,skill_Unity,skill_Unreal Engine,skill_Godot,skill_Figma,skill_Adobe XD,skill_Blender,skill_Photoshop,skill_PHPUnit,skill_Jest,skill_Cypress,skill_Selenium,skill_Pest,skill_TensorFlow,skill_PyTorch,skill_scikit-learn,skill_Pandas,skill_NumPy,skill_LangChain,skill_LlamaIndex,skill_Hugging Face,skill_Keras,skill_Strategic Leadership,skill_Business Development,skill_Financial Management,skill_Project Management,skill_Academic Research,skill_Partnership Management,skill_Digital Marketing,skill_Legal & Compliance,skill_REST APIs,skill_GraphQL,skill_gRPC,skill_WebSockets,skill_OpenAI API,skill_Anthropic API,skill_ElevenLabs API,skill_Hugging Face APIs,skill_Stripe API,skill_Twilio API,skill_OAuth / Auth0,availability_status,days_until_free,concurrent_tasks_count,daily_update_compliance_rate,individual_task_throughput
11,Data Engineer,6,"[0, 0, 1, 1, 0, 0, 0, 0]","Data Pipeline Engineering,Machine Learning (Supervised & Unsupervised),MLOps & Model Deployment,Cloud Deployment (AWS/GCP/Azure)",0,5,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,4,3,4,4,3,0,0,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,0,0,3,3,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,3,0,0,0,Busy,6,2,0.89,0.92
12,DevOps Engineer,8,"[0, 0, 0, 1, 0, 0, 0, 0]","Cloud Deployment (AWS/GCP/Azure),CI/CD Pipeline Design,Containerization (Docker/Kubernetes),Infrastructure as Code (Terraform)",0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,5,5,4,4,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,Available,0,0,0.95,0.85
13,DevSecOps,9,"[0, 0, 0, 1, 0, 0, 0, 0]","DevSecOps & Continuous Security,Cloud Deployment (AWS/GCP/Azure),Infrastructure as Code (Terraform),CI/CD Pipeline Design",0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,4,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,3,0,0,0,0,0,0,0,3,Busy,10,3,0.97,0.83
14,MLOps Engineer,5,"[0, 0, 1, 1, 0, 0, 0, 0]","MLOps & Model Deployment,AI Agent Orchestration (LangChain),CI/CD Pipeline Design,Cloud Deployment (AWS/GCP/Azure)",0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,3,0,0,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,4,3,3,3,0,0,0,0,0,0,0,0,3,0,2,0,3,2,0,3,0,0,0,Available,0,0,0.9,0.9
15,QA Automation Engineer,4,"[0, 1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Portal & Dashboard Development,Microservices & API Architecture,Real-Time Web (WebSockets)",2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,0,0,2,Available,0,0,0.88,1.0
16,Research Scientist,8,"[0, 0, 1, 0, 0, 0, 0, 0]","Machine Learning (Supervised & Unsupervised),Natural Language Processing & Computer Vision,LLM Fine-Tuning & Prompt Engineering,Algorithm Evaluation & Benchmarking",0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,2,0,0,4,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,4,4,5,4,0,0,0,0,5,0,0,0,3,0,0,0,3,2,0,4,0,0,0,Busy,7,2,0.93,0.87
17,Research Analyst,3,"[0, 0, 1, 0, 0, 0, 0, 0]","Algorithm Evaluation & Benchmarking,Machine Learning (Supervised & Unsupervised),Data Pipeline Engineering,Natural Language Processing & Computer Vision",0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,2,2,3,3,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,3,0,0,0,Available,0,0,0.8,1.05
18,Product Design Engineer,5,"[1, 0, 0, 0, 0, 1, 0, 0]","User Interface Design (Figma),UX Research & Wireframing,System Mechanics Planning,Motion Design & Animation",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.85,0.97
19,Technical Product Manager,6,"[1, 1, 0, 0, 0, 0, 0, 0]","Agile / Scrum Sprint Planning,Product Roadmap Architecture,Technical Documentation & PRDs,Requirements Gathering & Business Analysis",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,Busy,5,2,0.91,0.93
20,Project Manager,7,"[1, 0, 0, 0, 0, 0, 0, 0]","Agile / Scrum Sprint Planning,Requirements Gathering & Business Analysis,Technical Documentation & PRDs,Product Roadmap Architecture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.92,0.88
21,AI Solutions Architect,10,"[0, 1, 1, 1, 0, 0, 0, 0]","LLM Fine-Tuning & Prompt Engineering,RAG (Retrieval-Augmented Generation),Multi-Tenant SaaS Architecture,MLOps & Model Deployment",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,5,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,4,5,4,5,4,3,0,0,0,0,0,0,0,5,3,0,0,5,4,3,4,0,0,3,Busy,9,3,0.96,0.85
22,Full Stack Developer,3,"[0, 1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Database Architecture,Portal & Dashboard Development,E-Commerce Systems",3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,2,0,2,0,3,2,0,0,0,2,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,2,Available,0,0,0.78,1.08
23,Backend Developer,8,"[0, 1, 0, 0, 0, 0, 0, 0]","Microservices & API Architecture,Database Architecture,Real-Time Web (WebSockets),GraphQL API Design",5,4,0,0,4,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,5,4,0,3,4,3,0,0,0,0,0,4,0,5,4,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,4,3,3,0,0,0,0,2,0,3,Busy,11,4,0.94,0.87
24,Frontend Developer,2,"[0, 1, 0, 0, 0, 1, 0, 0]","Portal & Dashboard Development,User Interface Design (Figma),UX Research & Wireframing,E-Commerce Systems",0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,Available,0,0,0.75,1.12
25,Mobile Developer,7,"[0, 1, 0, 0, 0, 0, 1, 0]","Native iOS (Swift/SwiftUI),Native Android (Kotlin),Flutter / React Native (Cross-Platform),Offline-First Mobile Architecture",0,0,2,3,0,0,0,0,0,5,5,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,0,0,2,3,2,0,4,3,0,0,0,3,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,Busy,5,2,0.88,0.94
26,Game Developer,6,"[0, 0, 0, 0, 0, 0, 0, 1]","Unity / Unreal / Godot Development,Game Physics & Netcode,Interactive 3D Environments,Procedural Content Generation",0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,5,4,3,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.8,1.05
27,Product Engineer,4,"[1, 1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Product Roadmap Architecture,E-Commerce Systems,Portal & Dashboard Development",3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,2,0,2,0,2,2,0,0,0,2,0,4,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,2,0,2,Busy,3,1,0.82,1.02
28,Hardware / Embedded Engineer,5,"[0, 0, 0, 0, 1, 0, 0, 0]","Microcontroller Programming (Arduino/ESP32),Sensor Integration & IoT,PCB Design & Prototyping,Robotics & Actuator Control",0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,Available,0,0,0.82,0.98
29,Hardware-in-the-Loop (HIL) Engineer,6,"[0, 0, 0, 0, 1, 0, 0, 0]","Hardware-in-the-Loop (HIL) Testing,Real-Time Operating Systems (RTOS),Robotics & Actuator Control,Sensor Integration & IoT",0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,Busy,4,2,0.84,0.96
30,AI / ML Engineer,9,"[0, 0, 1, 1, 0, 0, 0, 0]","Natural Language Processing & Computer Vision,LLM Fine-Tuning & Prompt Engineering,RAG (Retrieval-Augmented Generation),MLOps & Model Deployment",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,3,5,3,3,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,5,5,5,5,0,0,0,0,4,0,0,0,4,0,0,0,5,4,3,5,0,0,0,Busy,12,4,0.97,0.84
31,Frontend Developer,6,"[0, 1, 0, 0, 0, 1, 0, 0]","Portal & Dashboard Development,Real-Time Web (WebSockets),User Interface Design (Figma),Conversational UI/UX Design",0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,3,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,4,3,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,3,Available,0,0,0.9,0.95
32,Backend Developer,4,"[0, 1, 0, 0, 0, 0, 0, 0]","Microservices & API Architecture,Database Architecture,Real-Time Web (WebSockets),E-Commerce Systems",4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,4,3,2,2,3,0,0,2,0,0,0,3,0,4,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,2,0,2,Busy,6,2,0.85,1.0
33,Full Stack Developer,9,"[0, 1, 0, 1, 0, 0, 0, 0]","Full-Stack Development,Multi-Tenant SaaS Architecture,CI/CD Pipeline Design,Microservices & API Architecture",4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,4,0,0,0,4,4,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,4,0,5,4,3,0,3,3,3,4,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,3,0,3,Available,0,0,0.92,0.89
34,Data Scientist,5,"[0, 0, 1, 0, 0, 0, 0, 0]","Machine Learning (Supervised & Unsupervised),Data Pipeline Engineering,Algorithm Evaluation & Benchmarking,Natural Language Processing & Computer Vision",0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,2,2,2,0,4,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,2,0,3,4,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0,0,Busy,5,2,0.88,0.93
35,Mobile Developer,4,"[0, 0, 0, 0, 0, 0, 1, 0]","Flutter / React Native (Cross-Platform),Native Android (Kotlin),Offline-First Mobile Architecture,Native iOS (Swift/SwiftUI)",0,0,2,3,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,2,0,0,2,2,2,0,4,2,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,Available,0,0,0.83,0.98
36,Game Developer,9,"[0, 0, 0, 0, 0, 0, 0, 1]","Unity / Unreal / Godot Development,Game Physics & Netcode,Procedural Content Generation,Interactive 3D Environments",0,0,0,0,0,0,5,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,5,5,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,6,2,0.83,1.05
37,DevOps Engineer,5,"[0, 0, 0, 1, 0, 0, 0, 0]","Cloud Deployment (AWS/GCP/Azure),CI/CD Pipeline Design,Containerization (Docker/Kubernetes),Infrastructure as Code (Terraform)",0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,Available,0,0,0.9,0.92
38,Research Scientist,11,"[0, 0, 1, 0, 0, 0, 0, 0]","Natural Language Processing & Computer Vision,Machine Learning (Supervised & Unsupervised),LLM Fine-Tuning & Prompt Engineering,Algorithm Evaluation & Benchmarking",0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,2,0,0,4,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,4,3,0,0,4,3,0,5,0,0,0,Available,0,0,0.95,0.85
39,QA Automation Engineer,6,"[0, 1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Portal & Dashboard Development,Microservices & API Architecture,Database Architecture",2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,3,0,0,0,0,0,0,2,Busy,4,2,0.86,0.99
40,AI / ML Engineer,5,"[0, 0, 1, 1, 0, 0, 0, 0]","Machine Learning (Supervised & Unsupervised),RAG (Retrieval-Augmented Generation),Vector Databases (Pinecone/Milvus),AI Agent Orchestration (LangChain)",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,4,0,2,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,5,4,4,4,0,0,0,0,3,0,0,0,3,2,0,0,4,3,0,3,0,0,2,Available,0,0,0.88,0.92
