task_id,task_classification,task_difficulty,priority,macro_domain,micro_domain,req_skill_PHP,req_skill_Python,req_skill_JavaScript,req_skill_TypeScript,req_skill_Go,req_skill_Rust,req_skill_C#,req_skill_C++,req_skill_Java,req_skill_Kotlin,req_skill_Swift,req_skill_Ruby,req_skill_Dart,req_skill_Lua,req_skill_R,req_skill_Laravel,req_skill_React,req_skill_Vue.js,req_skill_Next.js,req_skill_Nuxt.js,req_skill_Angular,req_skill_Svelte,req_skill_Django,req_skill_FastAPI,req_skill_Flask,req_skill_Spring Boot,req_skill_Ruby on Rails,req_skill_Express.js,req_skill_NestJS,req_skill_Flutter,req_skill_React Native,req_skill_Android (Native),req_skill_iOS (Native),req_skill_PostgreSQL,req_skill_MySQL,req_skill_SQLite,req_skill_MongoDB,req_skill_Redis,req_skill_Elasticsearch,req_skill_Firebase,req_skill_Supabase,req_skill_Pinecone,req_skill_Milvus,req_skill_ChromaDB,req_skill_Docker,req_skill_Kubernetes,req_skill_GitHub Actions,req_skill_AWS,req_skill_Google Cloud,req_skill_Azure,req_skill_Terraform,req_skill_Nginx,req_skill_Linux,req_skill_MLflow,req_skill_Ollama,req_skill_Unity,req_skill_Unreal Engine,req_skill_Godot,req_skill_Figma,req_skill_Adobe XD,req_skill_Blender,req_skill_Photoshop,req_skill_PHPUnit,req_skill_Jest,req_skill_Cypress,req_skill_Selenium,req_skill_Pest,req_skill_TensorFlow,req_skill_PyTorch,req_skill_scikit-learn,req_skill_Pandas,req_skill_NumPy,req_skill_LangChain,req_skill_LlamaIndex,req_skill_Hugging Face,req_skill_Keras,estimated_hours,days_until_deadline,predecessor_tasks
42,Data Pre-processing & Pipeline Engineering,Easy,High,Data Science & Predictive Modeling,Machine Learning (Supervised),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,13,41,None
43,System Architecture Design,Hard,Medium,Web & SaaS Platforms,Full-Stack Development,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,8,None
44,Feature Implementation,Hard,High,Web & SaaS Platforms,E-Commerce Systems,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,None
45,Model Training & Fine-Tuning,Easy,Low,Data Science & Predictive Modeling,LLM Fine-Tuning & Prompt Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,7,None
46,System Architecture Design,Easy,Medium,Web & SaaS Platforms,GraphQL API Design,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,None
47,Model Training & Fine-Tuning,Medium,Medium,Data Science & Predictive Modeling,Natural Language Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,37,40,None
48,Feature Implementation,Hard,High,Web & SaaS Platforms,Headless CMS Integration,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,21,None
49,Security Auditing & Penetration Testing,Medium,Medium,DevOps & IT Infrastructure,Cloud Deployment (Azure),0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,32,None
50,Algorithm Optimization & Refactoring,Easy,High,Web & SaaS Platforms,Full-Stack Development,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,None
51,Algorithm Optimization & Refactoring,Easy,High,Web & SaaS Platforms,REST API Architecture,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,45,"6, 14, 44"
52,Algorithm Evaluation & Benchmarking,Medium,Medium,Data Science & Predictive Modeling,Machine Learning (Supervised),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,25,22,None
53,System Architecture Design,Easy,High,Web & SaaS Platforms,Real-Time Web (WebSockets),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,"35, 44"
54,Load & Stress Testing,Hard,High,DevOps & IT Infrastructure,Containerization (Docker/Kubernetes),0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,44
55,Security Auditing & Penetration Testing,Hard,High,DevOps & IT Infrastructure,Cybersecurity & Hardening,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,54,"26, 42, 46"
56,CI/CD Pipeline Maintenance,Medium,Medium,DevOps & IT Infrastructure,Infrastructure as Code (Terraform),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,"19, 35, 46"
57,Algorithm Evaluation & Benchmarking,Easy,Medium,Data Science & Predictive Modeling,Data Analytics & Visualization,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,43,None
58,Game Engine Logic & Asset Integration,Medium,Medium,Game Development & Interactive Media,Godot Development,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,"37, 49"
59,LLM Prompt Engineering & RAG Integration,Medium,High,Data Science & Predictive Modeling,Natural Language Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,6,None
